Sensor,Distance,Reading
DN2 + DN4,8.7,0.57
DN2 + DN4,8.7,0.56
DN2 + DN4,8.7,0.56
DN2 + DN4,8.7,0.56
DN2 + DN4,8.7,0.57
DN2 + DN4,9,0.54
DN2 + DN4,9,0.53
DN2 + DN4,9,0.54
DN2 + DN4,9,0.55
DN2 + DN4,9,0.53
DN2 + DN4,10,0.4
DN2 + DN4,10,0.4
DN2 + DN4,10,0.39
DN2 + DN4,10,0.4
DN2 + DN4,10,0.4
DN2 + DN4,11,0.24
DN2 + DN4,11,0.22
DN2 + DN4,11,0.22
DN2 + DN4,11,0.23
DN2 + DN4,11,0.19
DN2 + DN4,12,0.12
DN2 + DN4,12,0.11
DN2 + DN4,12,0.11
DN2 + DN4,12,0.11
DN2 + DN4,12,0.11
DN2 + DN4,13,0.05
DN2 + DN4,13,0.05
DN2 + DN4,13,0.06
DN2 + DN4,13,0.06
DN2 + DN4,13,0.05
DN2 + DN4,14,0.03
DN2 + DN4,14,0.02
DN2 + DN4,14,0.03
DN2 + DN4,14,0
DN2 + DN4,14,0.03
DN2 + DN4,15,0
DN2 + DN4,15,0.01
DN2 + DN4,15,0
DN2 + DN4,15,0
DN2 + DN4,15,0
DN2 + DN4,16,0.01
DN2 + DN4,16,-0.02
DN2 + DN4,16,0
DN2 + DN4,16,0
DN2 + DN4,16,0
DN2 + DN4,17,0
DN2 + DN4,17,-0.01
DN2 + DN4,17,-0.01
DN2 + DN4,17,-0.01
DN2 + DN4,17,-0.01
DN2 + DN4,9.5,0.47
DN2 + DN4,9.5,0.47
DN2 + DN4,9.5,0.47
DN2 + DN4,9.5,0.47
DN2 + DN4,9.5,0.47
DN2 + DN4,10.5,0.3
DN2 + DN4,10.5,0.3
DN2 + DN4,10.5,0.29
DN2 + DN4,10.5,0.29
DN2 + DN4,10.5,0.3
Bl + BR,8.7,0.99
Bl + BR,8.7,0.99
Bl + BR,8.7,0.99
Bl + BR,8.7,1
Bl + BR,8.7,1
Bl + BR,9,0.84
Bl + BR,9,0.84
Bl + BR,9,0.81
Bl + BR,9,0.82
Bl + BR,9,0.82
Bl + BR,10,0.51
Bl + BR,10,0.49
Bl + BR,10,0.49
Bl + BR,10,0.5
Bl + BR,10,0.5
Bl + BR,11,0.41
Bl + BR,11,0.42
Bl + BR,11,0.42
Bl + BR,11,0.40
Bl + BR,11,0.40
Bl + BR,12,0.34
Bl + BR,12,0.24
Bl + BR,12,0.23
Bl + BR,12,0.24
Bl + BR,12,0.26
Bl + BR,13,0.2
Bl + BR,13,0.21
Bl + BR,13,0.19
Bl + BR,13,0.16
Bl + BR,13,0.18
Bl + BR,14,0.15
Bl + BR,14,0.16
Bl + BR,14,0.15
Bl + BR,14,0.15
Bl + BR,14,0.18
Bl + BR,15,0.13
Bl + BR,15,0.15
Bl + BR,15,0.15
Bl + BR,15,0.19
Bl + BR,15,0.16
Bl + BR,16,0.15
Bl + BR,16,0.15
Bl + BR,16,0.18
Bl + BR,16,0.13
Bl + BR,16,0.18
Bl + BR,17,0.16
Bl + BR,17,0.15
Bl + BR,17,0.07
Bl + BR,17,0.16
Bl + BR,17,0.06
Bl + BR,9.5,0.66
Bl + BR,9.5,0.65
Bl + BR,9.5,0.66
Bl + BR,9.5,0.68
Bl + BR,9.5,0.63
Bl + BR,10.5,0.41
Bl + BR,10.5,0.42
Bl + BR,10.5,0.41
Bl + BR,10.5,0.43
Bl + BR,10.5,0.49
DN1 + DN5,8.7,0.13
DN1 + DN5,8.7,0.12
DN1 + DN5,8.7,0.13
DN1 + DN5,8.7,0.13
DN1 + DN5,8.7,0.13
DN1 + DN5,9,0.11
DN1 + DN5,9,0.11
DN1 + DN5,9,0.1
DN1 + DN5,9,0.1
DN1 + DN5,9,0.11
DN1 + DN5,10,0.06
DN1 + DN5,10,0.06
DN1 + DN5,10,0.06
DN1 + DN5,10,0.06
DN1 + DN5,10,0.06
DN1 + DN5,11,0.04
DN1 + DN5,11,0.03
DN1 + DN5,11,0.04
DN1 + DN5,11,0.03
DN1 + DN5,11,0.04
DN1 + DN5,12,0.01
DN1 + DN5,12,0.01
DN1 + DN5,12,0.02
DN1 + DN5,12,0.01
DN1 + DN5,12,0.01
DN1 + DN5,13,0
DN1 + DN5,13,0.02
DN1 + DN5,13,0.01
DN1 + DN5,13,0.01
DN1 + DN5,13,0.01
DN1 + DN5,14,-0.02
DN1 + DN5,14,-0.01
DN1 + DN5,14,-0.01
DN1 + DN5,14,-0.02
DN1 + DN5,14,-0.01
DN1 + DN5,15,-0.01
DN1 + DN5,15,-0.01
DN1 + DN5,15,-0.01
DN1 + DN5,15,-0.01
DN1 + DN5,15,-0.01
DN1 + DN5,16,-0.01
DN1 + DN5,16,-0.01
DN1 + DN5,16,-0.01
DN1 + DN5,16,-0.01
DN1 + DN5,16,-0.01
DN1 + DN5,17,-0.01
DN1 + DN5,17,-0.01
DN1 + DN5,17,-0.01
DN1 + DN5,17,-0.01
DN1 + DN5,17,-0.01
DN1 + DN5,9.5,0.08
DN1 + DN5,9.5,0.09
DN1 + DN5,9.5,0.08
DN1 + DN5,9.5,0.09
DN1 + DN5,9.5,0.09
DN1 + DN5,10.5,0.05
DN1 + DN5,10.5,0.04
DN1 + DN5,10.5,0.06
DN1 + DN5,10.5,0.06
DN1 + DN5,10.5,0.06
