Sensor,Distance,Reading
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,8.7,0.18
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,10.0,0.14
DN1,11,0.12
DN1,11,0.12
DN1,11,0.1
DN1,11,0.1
DN1,11,0.13
DN1,11,0.12
DN1,11,0.12
DN1,11,0.12
DN1,11,0.12
DN1,11,0.12
DN1,12,0.11
DN1,12,0.1
DN1,12,0.11
DN1,12,0.1
DN1,12,0.1
DN1,12,0.1
DN1,12,0.1
DN1,12,0.1
DN1,12,0.1
DN1,12,0.11
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,13,0.08
DN1,14,0.09
DN1,14,0.09
DN1,14,0.09
DN1,14,0.08
DN1,14,0.08
DN1,14,0.08
DN1,14,0.08
DN1,14,0.08
DN1,14,0.08
DN1,14,0.09
DN1,15,0.08
DN1,15,0.08
DN1,15,0.08
DN1,15,0.08
DN1,15,0.09
DN1,15,0.09
DN1,15,0.09
DN1,15,0.09
DN1,15,0.09
DN1,15,0.08
DN1,16,0.08
DN1,16,0.09
DN1,16,0.08
DN1,16,0.08
DN1,16,0.09
DN1,16,0.09
DN1,16,0.08
DN1,16,0.08
DN1,16,0.09
DN1,16,0.08
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,17,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,18,0.06
DN1,19,0.06
DN1,19,0.06
DN1,19,0.06
DN1,19,0.06
DN1,19,0.07
DN1,19,0.06
DN1,19,0.06
DN1,19,0.06
DN1,19,0.06
DN1,19,0.06
DN1,20,0.07
DN1,20,0.06
DN1,20,0.06
DN1,20,0.06
DN1,20,0.06
DN1,20,0.06
