Sensor,Distance,Reading
Left,10,16240
Left,10,16236
Left,10,16240
Left,10,16244
Left,10,16240
Left,10,16260
Left,10,16244
Left,10,16264
Left,10,16280
Left,10,16276
Left,15,63220
Left,15,62852
Left,15,62824
Left,15,62836
Left,15,62772
Left,15,63088
Left,15,62824
Left,15,62748
Left,15,62800
Left,15,62828
Left,20,105076
Left,20,105196
Left,20,105160
Left,20,105100
Left,20,105124
Left,20,105848
Left,20,106540
Left,20,106136
Left,20,105984
Left,20,106104
Left,25,131876
Left,25,131872
Left,25,132484
Left,25,132636
Left,25,132712
Left,25,129480
Left,25,128164
Left,25,128420
Left,25,129608
Left,25,131796
Left,30,144900
Left,30,146200
Left,30,146872
Left,30,146952
Left,30,146160
Left,30,157048
Left,30,151772
Left,30,162456
Left,30,156868
Left,30,162744
Left,8.7,13552
Left,8.7,13568
Left,8.7,13636
Left,8.7,13564
Left,8.7,13552
Left,8.7,13472
Left,8.7,13460
Left,8.7,13504
Left,8.7,13548
Left,11,26528
Left,11,26516
Left,11,26552
Left,11,26588
Left,11,26540
Left,11,26508
Left,11,26524
Left,11,26568
Left,11,26556
Left,11,26552
Left,12,31892
Left,12,31892
Left,12,31884
Left,12,31924
Left,12,31888
Left,12,31928
Left,12,31904
Left,12,31872
Left,12,31888
Left,12,31884
Left,13,40772
Left,13,40760
Left,13,40572
Left,13,40744
Left,13,40768
Left,13,40548
Left,13,40756
Left,13,40732
Left,13,40580
Left,13,40792
Left,14,47876
Left,14,47940
Left,14,48024
Left,14,48056
Left,14,48056
Left,14,48024
Left,14,48128
Left,14,48072
Left,14,48076
Left,14,48012
Left,16,66516
Left,16,66512
Left,16,66500
Left,16,66512
Left,16,66400
Left,16,66512
Left,16,66472
Left,16,66448
Left,16,66436
Left,16,66428
Left,17,75208
Left,17,75220
Left,17,75304
Left,17,75260
Left,17,75224
Left,17,75344
Left,17,75320
Left,17,75276
Left,17,75244
Left,17,75140
Left,18,85180
Left,18,85208
Left,18,84684
Left,18,85124
Left,18,85156
Left,18,85416
Left,18,84588
Left,18,84744
Left,18,84968
Left,18,85248
Left,19,93152
Left,19,93188
Left,19,93220
Left,19,93244
Left,19,93228
Left,19,93196
Left,19,93180
Left,19,93196
Left,19,93164
Left,19,93200
Left,22.5,128164
Left,22.5,128200
Left,22.5,127416
Left,22.5,124996
Left,22.5,123712
Left,22.5,123916
Left,22.5,123792
Left,22.5,123828
Left,22.5,123956
Left,22.5,124004
Right,10,18852
Right,10,19012
Right,10,18848
Right,10,18856
Right,10,18848
Right,10,18848
Right,10,18860
Right,10,18860
Right,10,18844
Right,10,18860
Right,15,72360
Right,15,72296
Right,15,72304
Right,15,72264
Right,15,72308
Right,15,72340
Right,15,72332
Right,15,72380
Right,15,72320
Right,15,72380
Right,20,133524
Right,20,133540
Right,20,133580
Right,20,134676
Right,20,133508
Right,20,133676
Right,20,133276
Right,20,133520
Right,20,133612
Right,20,133740
Right,25,191108
Right,25,195432
Right,25,191616
Right,25,195400
Right,25,191848
Right,25,194760
Right,25,192008
Right,25,194420
Right,25,191864
Right,25,194456
Right,30,219608
Right,30,217284
Right,30,221356
Right,30,218604
Right,30,221600
Right,30,218616
Right,30,220556
Right,30,217776
Right,30,219356
Right,30,215640
Right,8.7,11364
Right,8.7,11352
Right,8.7,11372
Right,8.7,11364
Right,8.7,11356
Right,8.7,11376
Right,8.7,11364
Right,8.7,11300
Right,8.7,11172
Right,11,26740
Right,11,26748
Right,11,26712
Right,11,26720
Right,11,26704
Right,11,26724
Right,11,26692
Right,11,26736
Right,11,26736
Right,11,26748
Right,12,36804
Right,12,36820
Right,12,36840
Right,12,36844
Right,12,36828
Right,12,36776
Right,12,36824
Right,12,36848
Right,12,36832
Right,12,36892
Right,13,50368
Right,13,50416
Right,13,50384
Right,13,50372
Right,13,50368
Right,13,50464
Right,13,50436
Right,13,50880
Right,13,50436
Right,13,50432
Right,14,63580
Right,14,63724
Right,14,63868
Right,14,63840
Right,14,63708
Right,14,63272
Right,14,63292
Right,14,63280
Right,14,63280
Right,14,63300
Right,16,93236
Right,16,93500
Right,16,93312
Right,16,93468
Right,16,93600
Right,16,92232
Right,16,92600
Right,16,93136
Right,16,93388
Right,16,93364
Right,17,104432
Right,17,104424
Right,17,104588
Right,17,104676
Right,17,104508
Right,17,102740
Right,17,102252
Right,17,102808
Right,17,103888
Right,17,105036
Right,18,121840
Right,18,120692
Right,18,120716
Right,18,120096
Right,18,119988
Right,18,119468
Right,18,119480
Right,18,119580
Right,18,119528
Right,18,119544
Right,19,137020
Right,19,137072
Right,19,137084
Right,19,136932
Right,19,137020
Right,19,137096
Right,19,135264
Right,19,131284
Right,19,128208
Right,19,129444
Right,22.5,172668
Right,22.5,172744
Right,22.5,174236
Right,22.5,172760
Right,22.5,172888
Right,22.5,173804
Right,22.5,174052
Right,22.5,173724
Right,22.5,174024
Right,22.5,173920
