Sensor,Distance,Reading,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1784,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1788,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1784,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1796,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1788,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1792,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1792,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1784,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1788,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,8.7,1788,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1848,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1860,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1860,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1860,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1860,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1856,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1856,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1860,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1860,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,10.0,1860,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1940,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1944,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1944,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1940,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1936,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1944,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1940,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1940,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1944,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,11,1944,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1972,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1972,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1972,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1928,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1972,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1928,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1932,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1976,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1976,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,12,1976,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1968,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1972,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1968,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1968,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1972,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1968,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1960,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1960,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1968,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,13,1972,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2000,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2008,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2008,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2000,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,14,2008,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,15,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,16,2004,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,1992,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,1992,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,2052,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,2000,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,18,1992,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,20,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2044,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2036,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,22.5,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2032,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2044,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2036,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,25,2036,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2048,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2036,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2036,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN1,30,2040,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2088,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2092,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2084,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2088,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2092,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2092,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2092,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2084,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2088,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,8.7,2096,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,10.0,2204,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,10.0,2208,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,10.0,2208,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,10.0,2208,,,,,,,,,,,,,,,,,,,,,,,,,
