Sensor,Time/s,Reading
DN2 + DN4,0,3961.81
DN2 + DN4,1,-1376.85
DN2 + DN4,2,-2033.52
DN2 + DN4,3,1115.48
DN2 + DN4,4,148.15
DN2 + DN4,5,24.15
DN2 + DN4,6,42.48
DN2 + DN4,7,-279.85
DN2 + DN4,8,84.48
DN2 + DN4,9,265.81
DN2 + DN4,10,-614.85
DN2 + DN4,11,-1074.52
DN2 + DN4,12,-734.85
DN2 + DN4,13,323.15
DN2 + DN4,14,-133.52
DN2 + DN4,15,87.48
DN2 + DN4,16,39.15
DN2 + DN4,17,31.81
DN2 + DN4,18,992.81
DN2 + DN4,19,924.15
DN2 + DN4,20,-734.52
DN2 + DN4,21,579.48
DN2 + DN4,22,-705.52
DN2 + DN4,23,-1224.19
DN2 + DN4,24,372.81
DN2 + DN4,25,2470.81
DN2 + DN4,26,2029.48
DN2 + DN4,27,-485.52
DN2 + DN4,28,-1374.19
DN2 + DN4,29,-2678.52
DN2 + DN4,30,-735.52
DN2 + DN4,31,-467.19
DN2 + DN4,32,-972.19
DN2 + DN4,33,927.48
DN2 + DN4,34,-267.19
DN2 + DN4,35,-1319.19
DN2 + DN4,36,-552.19
DN2 + DN4,37,620.15
DN2 + DN4,38,547.81
DN2 + DN4,39,-1724.52
DN2 + DN4,40,414.15
DN2 + DN4,41,-416.85
DN2 + DN4,42,666.81
DN2 + DN4,43,-633.85
DN2 + DN4,44,-962.19
DN2 + DN4,45,-2215.52
DN2 + DN4,46,-426.52
DN2 + DN4,47,603.15
DN2 + DN4,48,-90.85
DN2 + DN4,49,-551.85
DN2 + DN4,50,787.81
DN2 + DN4,51,1112.48
DN2 + DN4,52,764.81
DN2 + DN4,53,951.48
DN2 + DN4,54,1398.15
DN2 + DN4,55,-658.19
DN2 + DN4,56,-1026.52
DN2 + DN4,57,-1954.85
DN2 + DN4,58,-2073.19
DN2 + DN4,59,-1185.85
DN2 + DN4,60,1402.15
DN2 + DN4,61,423.15
DN2 + DN4,62,1376.15
DN2 + DN4,63,-2062.85
DN2 + DN4,64,1244.81
DN2 + DN4,65,3.48
DN2 + DN4,66,-210.19
DN2 + DN4,67,-65.85
DN2 + DN4,68,-97.19
DN2 + DN4,69,79.15
DN2 + DN4,70,117.15
DN2 + DN4,71,-235.19
DN2 + DN4,72,15.48
DN2 + DN4,73,120.48
DN2 + DN4,74,46.48
DN2 + DN4,75,-127.85
DN2 + DN4,76,-195.85
DN2 + DN4,77,283.15
DN2 + DN4,78,-86.52
DN2 + DN4,79,-223.19
DN2 + DN4,80,-200.52
DN2 + DN4,81,-92.85
DN2 + DN4,82,89.15
DN2 + DN4,83,-571.85
DN2 + DN4,84,57.48
DN2 + DN4,85,277.81
DN2 + DN4,86,-254.52
DN2 + DN4,87,30.81
DN2 + DN4,88,-272.85
DN2 + DN4,89,197.48
DN2 + DN4,90,-45.19
DN2 + DN4,91,126.48
DN2 + DN4,92,452.15
DN2 + DN4,93,-786.19
DN2 + DN4,94,1337.15
DN2 + DN4,95,-582.85
DN2 + DN4,96,-127.52
DN2 + DN4,97,474.48
DN2 + DN4,98,1102.15
DN2 + DN4,99,188.48
DN2 + DN4,0,3215.78
DN2 + DN4,1,161.78
DN2 + DN4,2,-975.89
DN2 + DN4,3,-163.22
DN2 + DN4,4,-171.22
DN2 + DN4,5,-168.89
DN2 + DN4,6,-135.22
DN2 + DN4,7,-304.55
DN2 + DN4,8,-394.55
DN2 + DN4,9,623.78
DN2 + DN4,10,780.45
DN2 + DN4,11,-637.55
DN2 + DN4,12,145.78
DN2 + DN4,13,-1300.22
DN2 + DN4,14,-971.22
DN2 + DN4,15,-1333.89
DN2 + DN4,16,-1036.55
DN2 + DN4,17,-1058.22
DN2 + DN4,18,-258.55
DN2 + DN4,19,-365.89
DN2 + DN4,20,-176.22
DN2 + DN4,21,1427.78
DN2 + DN4,22,332.11
DN2 + DN4,23,-2448.55
DN2 + DN4,24,-644.55
DN2 + DN4,25,2168.78
DN2 + DN4,26,2257.45
DN2 + DN4,27,372.45
DN2 + DN4,28,98.45
DN2 + DN4,29,-126.89
DN2 + DN4,30,-586.89
DN2 + DN4,31,1582.78
DN2 + DN4,32,1075.45
DN2 + DN4,33,258.45
DN2 + DN4,34,-346.89
DN2 + DN4,35,231.45
DN2 + DN4,36,-748.55
DN2 + DN4,37,-4752.22
DN2 + DN4,38,-950.89
DN2 + DN4,39,1741.11
DN2 + DN4,40,2407.45
DN2 + DN4,41,-1131.55
DN2 + DN4,42,-714.22
DN2 + DN4,43,-2160.89
DN2 + DN4,44,-1484.22
DN2 + DN4,45,-1476.89
DN2 + DN4,46,659.11
DN2 + DN4,47,1185.78
DN2 + DN4,48,-171.55
DN2 + DN4,49,-1853.55
DN2 + DN4,50,-1066.89
DN2 + DN4,51,-400.22
DN2 + DN4,52,-1855.89
DN2 + DN4,53,-652.22
DN2 + DN4,54,867.78
DN2 + DN4,55,312.78
DN2 + DN4,56,-1042.22
DN2 + DN4,57,-558.89
DN2 + DN4,58,1729.11
DN2 + DN4,59,797.11
DN2 + DN4,60,570.45
DN2 + DN4,61,3228.45
DN2 + DN4,62,248.45
DN2 + DN4,63,-135.55
DN2 + DN4,64,243.45
DN2 + DN4,65,141.45
DN2 + DN4,66,-86.22
DN2 + DN4,67,-241.22
DN2 + DN4,68,-196.89
DN2 + DN4,69,-96.55
DN2 + DN4,70,-4.55
DN2 + DN4,71,-33.22
DN2 + DN4,72,-12.55
DN2 + DN4,73,134.45
DN2 + DN4,74,175.45
DN2 + DN4,75,62.78
DN2 + DN4,76,-309.22
DN2 + DN4,77,-38.55
DN2 + DN4,78,-10.22
DN2 + DN4,79,741.45
DN2 + DN4,80,-803.22
DN2 + DN4,81,91.78
DN2 + DN4,82,94.78
DN2 + DN4,83,-334.55
DN2 + DN4,84,-11.22
DN2 + DN4,85,-1127.22
DN2 + DN4,86,-122.55
DN2 + DN4,87,-264.55
DN2 + DN4,88,-44.89
DN2 + DN4,89,-97.55
DN2 + DN4,90,-344.89
DN2 + DN4,91,19.45
DN2 + DN4,92,146.45
DN2 + DN4,93,-426.89
DN2 + DN4,94,-252.55
